id,name,spotify_id
796cbaa9-bca7-4db2-b53e-609981d04f58,Hush,5yumQW70M7N3EeWFWV7fUZ
8e55fbed-429d-4d00-b18c-6704bca1e175,BT,64MoFdq8ORI3V98AR5SPWL
cf1d2fc0-9744-40bb-baf1-7f8f4ef38080,Rundfunk,57YxaoBg6PRyZnf0AbNh4p
d06aae9b-1b35-4e25-88ef-1395f091a41b,M.A.S.K,4BbXWPIfy8mGhcdzvNQV3f
01a80600-9958-4350-a59c-d2e0411f01f7,Frost,1OP6j4VDvE2sJP8kQ71ksZ
b57d8377-55e3-44e4-b6b5-52d2f47fc3e2,Shaquille O'Neal,75vCyksqhYjtt5VIpc8g7u
adc6d152-2933-4a24-9470-00674169710e,SOFI,5JQzXeT8vXc1N4Y6tGenCb
3ba71ffc-d3fb-49fc-bdf5-83889c5ec653,Fløa,3XgQiERzlGzUe286O2jo7I
82322159-5b59-4ed1-8856-c2329b9df0b6,Kage,6ehv7BnQkNEh7Hqd8rRcot
2658f729-15dd-482d-ba0f-4cca9c3e827e,Bliss,5kCxDwD2rjY6lKSGdAW7Lk
112d59c2-71a5-4da3-949e-83f0a0501946,AK,33Cf4O1KAVbtQa00scMi2A
9c751e62-6bf2-4ca1-89fc-66429a355d4f,Moss,2Jc8cCPK5iNSXVUgf79gD6
ca8ff250-9639-443f-b84e-a39dcc4eb3e0,BOP,02ZCVD3nqfqNId8lvpvCBb
de42ee11-a001-4a62-aeee-bee34ef5fd97,YDG,286Ranmy5NZOVyIwNwAUE4
